R,G,B,RGB-HEX,escol-number
0.3333333333,0.6666666667,0.6666666667,#55AAAA,14
0.3333333333,0.6666666667,0.7777777778,#55AAC6,14
0.3333333333,0.6666666667,0.8888888889,#55AAE2,14
0.3333333333,0.6666666667,1,#55AAFF,14
0.3333333333,0.7777777778,0,#55C600,10
0.3333333333,0.7777777778,0.1111111111,#55C61C,10
0.3333333333,0.7777777778,0.2222222222,#55C638,10
0.3333333333,0.7777777778,0.3333333333,#55C655,10
0.3333333333,0.7777777778,0.4444444444,#55C671,10
0.3333333333,0.7777777778,0.5555555556,#55C68D,10
0.3333333333,0.7777777778,0.6666666667,#55C6AA,14
0.3333333333,0.7777777778,0.7777777778,#55C6C6,14
0.3333333333,0.7777777778,0.8888888889,#55C6E2,14
0.3333333333,0.7777777778,1,#55C6FF,14
0.3333333333,0.8888888889,0,#55E200,10
0.3333333333,0.8888888889,0.1111111111,#55E21C,10
0.3333333333,0.8888888889,0.2222222222,#55E238,10
0.3333333333,0.8888888889,0.3333333333,#55E255,10
0.3333333333,0.8888888889,0.4444444444,#55E271,10
0.3333333333,0.8888888889,0.5555555556,#55E28D,10
0.3333333333,0.8888888889,0.6666666667,#55E2AA,10
0.3333333333,0.8888888889,0.7777777778,#55E2C6,14
0.3333333333,0.8888888889,0.8888888889,#55E2E2,14
0.3333333333,0.8888888889,1,#55E2FF,14
0.3333333333,1,0,#55FF00,10
0.3333333333,1,0.1111111111,#55FF1C,10
0.3333333333,1,0.2222222222,#55FF38,10
0.3333333333,1,0.3333333333,#55FF55,10
0.3333333333,1,0.4444444444,#55FF71,10
0.3333333333,1,0.5555555556,#55FF8D,10
0.3333333333,1,0.6666666667,#55FFAA,10
0.3333333333,1,0.7777777778,#55FFC6,10
0.3333333333,1,0.8888888889,#55FFE2,14
0.3333333333,1,1,#55FFFF,14
0.4444444444,0,0,#710000,3
0.4444444444,0,0.1111111111,#71001C,3
0.4444444444,0,0.2222222222,#710038,3
0.4444444444,0,0.3333333333,#710055,7
0.4444444444,0,0.4444444444,#710071,7
0.4444444444,0,0.5555555556,#71008D,7
0.4444444444,0,0.6666666667,#7100AA,12
0.4444444444,0,0.7777777778,#7100C6,13
0.4444444444,0,0.8888888889,#7100E2,12
0.4444444444,0,1,#7100FF,12
0.4444444444,0.1111111111,0,#711C00,3
0.4444444444,0.1111111111,0.1111111111,#711C1C,3
0.4444444444,0.1111111111,0.2222222222,#711C38,3
0.4444444444,0.1111111111,0.3333333333,#711C55,7
0.4444444444,0.1111111111,0.4444444444,#711C71,7
0.4444444444,0.1111111111,0.5555555556,#711C8D,7
0.4444444444,0.1111111111,0.6666666667,#711CAA,7
0.4444444444,0.1111111111,0.7777777778,#711CC6,12
0.4444444444,0.1111111111,0.8888888889,#711CE2,12
0.4444444444,0.1111111111,1,#711CFF,12
0.4444444444,0.2222222222,0,#713800,3
0.4444444444,0.2222222222,0.1111111111,#71381C,3
0.4444444444,0.2222222222,0.2222222222,#713838,3
0.4444444444,0.2222222222,0.3333333333,#713855,7
0.4444444444,0.2222222222,0.4444444444,#713871,7
0.4444444444,0.2222222222,0.5555555556,#71388D,7
0.4444444444,0.2222222222,0.6666666667,#7138AA,7
0.4444444444,0.2222222222,0.7777777778,#7138C6,12
0.4444444444,0.2222222222,0.8888888889,#7138E2,12
0.4444444444,0.2222222222,1,#7138FF,12
0.4444444444,0.3333333333,0,#715500,5
0.4444444444,0.3333333333,0.1111111111,#71551C,5
0.4444444444,0.3333333333,0.2222222222,#715538,5
0.4444444444,0.3333333333,0.3333333333,#715555,5
0.4444444444,0.3333333333,0.4444444444,#715571,6
0.4444444444,0.3333333333,0.5555555556,#71558D,6
0.4444444444,0.3333333333,0.6666666667,#7155AA,6
0.4444444444,0.3333333333,0.7777777778,#7155C6,12
0.4444444444,0.3333333333,0.8888888889,#7155E2,12
0.4444444444,0.3333333333,1,#7155FF,14
0.4444444444,0.4444444444,0,#717100,5
0.4444444444,0.4444444444,0.1111111111,#71711C,5
0.4444444444,0.4444444444,0.2222222222,#717138,5
0.4444444444,0.4444444444,0.3333333333,#717155,5
0.4444444444,0.4444444444,0.4444444444,#717171,12
0.4444444444,0.4444444444,0.5555555556,#71718D,12
0.4444444444,0.4444444444,0.6666666667,#7171AA,12
0.4444444444,0.4444444444,0.7777777778,#7171C6,12
0.4444444444,0.4444444444,0.8888888889,#7171E2,12
0.4444444444,0.4444444444,1,#7171FF,14
0.4444444444,0.5555555556,0,#718D00,5
0.4444444444,0.5555555556,0.1111111111,#718D1C,10
0.4444444444,0.5555555556,0.2222222222,#718D38,10
0.4444444444,0.5555555556,0.3333333333,#718D55,10
0.4444444444,0.5555555556,0.4444444444,#718D71,10
0.4444444444,0.5555555556,0.5555555556,#718D8D,12
0.4444444444,0.5555555556,0.6666666667,#718DAA,12
0.4444444444,0.5555555556,0.7777777778,#718DC6,12
0.4444444444,0.5555555556,0.8888888889,#718DE2,12
0.4444444444,0.5555555556,1,#718DFF,14
0.4444444444,0.6666666667,0,#71AA00,4
0.4444444444,0.6666666667,0.1111111111,#71AA1C,10
0.4444444444,0.6666666667,0.2222222222,#71AA38,10
0.4444444444,0.6666666667,0.3333333333,#71AA55,10
0.4444444444,0.6666666667,0.4444444444,#71AA71,10
0.4444444444,0.6666666667,0.5555555556,#71AA8D,10
0.4444444444,0.6666666667,0.6666666667,#71AAAA,14
0.4444444444,0.6666666667,0.7777777778,#71AAC6,14
0.4444444444,0.6666666667,0.8888888889,#71AAE2,14
0.4444444444,0.6666666667,1,#71AAFF,14
0.4444444444,0.7777777778,0,#71C600,10
0.4444444444,0.7777777778,0.1111111111,#71C61C,10
0.4444444444,0.7777777778,0.2222222222,#71C638,10
0.4444444444,0.7777777778,0.3333333333,#71C655,10
0.4444444444,0.7777777778,0.4444444444,#71C671,10
0.4444444444,0.7777777778,0.5555555556,#71C68D,10
0.4444444444,0.7777777778,0.6666666667,#71C6AA,14
0.4444444444,0.7777777778,0.7777777778,#71C6C6,14
0.4444444444,0.7777777778,0.8888888889,#71C6E2,14
0.4444444444,0.7777777778,1,#71C6FF,14
0.4444444444,0.8888888889,0,#71E200,4
0.4444444444,0.8888888889,0.1111111111,#71E21C,10
0.4444444444,0.8888888889,0.2222222222,#71E238,10
0.4444444444,0.8888888889,0.3333333333,#71E255,10
0.4444444444,0.8888888889,0.4444444444,#71E271,10
0.4444444444,0.8888888889,0.5555555556,#71E28D,10
0.4444444444,0.8888888889,0.6666666667,#71E2AA,14
0.4444444444,0.8888888889,0.7777777778,#71E2C6,14
0.4444444444,0.8888888889,0.8888888889,#71E2E2,14
0.4444444444,0.8888888889,1,#71E2FF,14
0.4444444444,1,0,#71FF00,4
0.4444444444,1,0.1111111111,#71FF1C,10
0.4444444444,1,0.2222222222,#71FF38,10
0.4444444444,1,0.3333333333,#71FF55,10
0.4444444444,1,0.4444444444,#71FF71,10
0.4444444444,1,0.5555555556,#71FF8D,10
0.4444444444,1,0.6666666667,#71FFAA,14
0.4444444444,1,0.7777777778,#71FFC6,14
0.4444444444,1,0.8888888889,#71FFE2,14
0.4444444444,1,1,#71FFFF,14
0.5555555556,0,0,#8D0000,3
0.5555555556,0,0.1111111111,#8D001C,3
0.5555555556,0,0.2222222222,#8D0038,13
0.5555555556,0,0.3333333333,#8D0055,13
0.5555555556,0,0.4444444444,#8D0071,13
0.5555555556,0,0.5555555556,#8D008D,13
0.5555555556,0,0.6666666667,#8D00AA,12
0.5555555556,0,0.7777777778,#8D00C6,13
0.5555555556,0,0.8888888889,#8D00E2,13
0.5555555556,0,1,#8D00FF,13
0.5555555556,0.1111111111,0,#8D1C00,3
0.5555555556,0.1111111111,0.1111111111,#8D1C1C,3
0.5555555556,0.1111111111,0.2222222222,#8D1C38,13
0.5555555556,0.1111111111,0.3333333333,#8D1C55,13
0.5555555556,0.1111111111,0.4444444444,#8D1C71,13
0.5555555556,0.1111111111,0.5555555556,#8D1C8D,13
0.5555555556,0.1111111111,0.6666666667,#8D1CAA,12
0.5555555556,0.1111111111,0.7777777778,#8D1CC6,13
0.5555555556,0.1111111111,0.8888888889,#8D1CE2,13
0.5555555556,0.1111111111,1,#8D1CFF,13
0.5555555556,0.2222222222,0,#8D3800,3
0.5555555556,0.2222222222,0.1111111111,#8D381C,3
0.5555555556,0.2222222222,0.2222222222,#8D3838,13
0.5555555556,0.2222222222,0.3333333333,#8D3855,13
0.5555555556,0.2222222222,0.4444444444,#8D3871,13
0.5555555556,0.2222222222,0.5555555556,#8D388D,13
0.5555555556,0.2222222222,0.6666666667,#8D38AA,12
0.5555555556,0.2222222222,0.7777777778,#8D38C6,13
0.5555555556,0.2222222222,0.8888888889,#8D38E2,13
